source_file,event_id,date,year,country,region,Location,latitude,longitude,loc_accuracy,Actor1,Actor2,WeakGov,FishPop,EcoChngeOther,GroundsLim,ForeignFisher,IllegalFishing,IncrEfficiency,IncrPressure,OpsScales,Markets,Poverty,FoodInsecurity,Marginalization,StratLoc,MaritimeCrime,violence_score,ViolenceScore_Explanation,Explanation,Summary,Disputed,ForcedLabor,sst_time,lon_360,matched_sst_lat,matched_sst_lon,sst_degC,sst_search_radius_deg,sst_distance_km,sst_month,sst_historical_same_month_mean_degC,sst_diff_same_month_degC,soi
Oceania_No_AUS_NZL_Final,24328612817,12/1/2011,2011,American Samoa,Oceania,"Pago Pago, capital of American Samoa.",-14.27806,-170.7025,Town,"Sanford, a New Zealand fishing company that owns the San Nikunau.","The US Coast Guard, which is enforcing pollution laws and regulations.",0,0,1,0,1,0,0,,0,1,0,0,0,0,0,2,Vessel detained,"The event involves the detention of the San Nikunau, a fishing vessel owned by the New Zealand company Sanford, by the US Coast Guard on pollution charges relating to oily water discharges in American Samoa. This incident highlights issues surrounding legal compliance in fishing operations and the potential impacts on international fisheries management.","The detention of the San Nikunau, a fishing vessel owned by the New Zealand company Sanford, by the US Coast Guard on pollution charges relating to oily water discharges.",0,0,12/1/2011,189.2975,-14,190,28.76443099975586,2,81.81516689,12,28.58698844909668,0.1774425506591797,2.5
Oceania_No_AUS_NZL_Final,24359251958,10/12/2011,2011,French Polynesia,Oceania,"Port of Papeete, French Polynesia.",-17.536,-149.582,Town,French Polynesian fishermen protesting against fuel price increases.,"The French Polynesian government, led by President Oscar Temaru, which recently raised fuel prices.",1,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,"The situation is characterized by non-violent protests and threats, focusing on blockades rather than physical altercations or harm.","French Polynesian fishermen are engaging in a partial blockade of the port of Papeete in response to a recent increase in fuel prices imposed by the government. Although they initially threatened to close all access to the port, they have opted for a more measured approach as negotiations with the government are ongoing. The situation highlights the tensions between local fisheries and governmental economic decisions.",French Polynesian fishermen are engaging in a partial blockade of the port of Papeete in response to a recent increase in fuel prices imposed by the government.,0,0,10/1/2011,210.418,-18,210,26.52806282043457,2,67.97891379382146,10,26.23247718811035,0.29558563232421875,0.8
Oceania_No_AUS_NZL_Final,24349703891,8/1/2011,2011,Guam,Oceania,"Hotel Wharf, Port Authority of Guam.",13.46,144.665,Town,"Port Authority of Guam, the governmental body responsible for managing the port and overseeing the lease agreement with Guam YTK Corp.","Guam YTK Corp., the private company that was granted a long-term lease to develop and operate a fishing facility at Hotel Wharf.",1,0,0,0,0,0,0,,0,0,0,0,0,1,0,1,"The dispute is primarily administrative and involves negotiations and potential arbitration, with no physical confrontations or threats of violence present in the article.","The dispute between the Port Authority of Guam and Guam YTK Corp. centers on the failure of Guam YTK to fulfill the terms of a long-term lease for a fishing facility at Hotel Wharf. The Port Authority seeks to reclaim the property, citing major defaults by Guam YTK, including failure to pay rent, not starting the promised construction on the fishing facility, and concerns over the lease's legality due to its duration. The parties are currently negotiating a proposed settlement while a scheduled arbitration is on hold. The plan when the lease was signed — three companies competed for the lease — was to encourage more Japan long-liner fishing boats to dock on Guam and auction off their fish — and pay their taxes — in an auction house here.",The dispute between the Port Authority of Guam and Guam YTK Corp. centers on the failure of Guam YTK to fulfill the terms of a long-term lease for a fishing facility at Hotel Wharf.,0,0,8/1/2011,144.665,14,144,29.53872299194336,2,93.62249696315568,8,29.19361686706543,0.3451061248779297,0.4
Oceania_No_AUS_NZL_Final,24327648295,11/10/2011,2011,Guam,Oceania,"Agana and Agat Marinas, Guam.",13.47567,144.74886,Town,"The Port Authority of Guam, which is responsible for enforcing fishing regulations in the marinas.",Local fishers who may be violating the net fishing prohibition in the Agana and Agat Marinas.,0,1,0,1,0,0,1,,0,0,0,0,0,0,0,1,"The enforcement actions described, including arrests and penalties, do not involve any physical violence, thus indicating a low-level conflict.","The article discusses the enforcement of fishing regulations in Guam, specifically prohibiting the use of net fishing in the Agana and Agat Marinas. The Port Authority of Guam is taking measures to increase surveillance and impose penalties for violations, indicating a potential dispute regarding fishing practices in these areas.","The article discusses the enforcement of fishing regulations in Guam, specifically prohibiting the use of net fishing in the Agana and Agat Marinas.",0,0,11/1/2011,144.74886,14,144,29.095762252807617,2,99.70916432,11,28.614425659179688,0.4813365936279297,1.1
Oceania_No_AUS_NZL_Final,24359264846,10/13/2011,2011,High Seas,Oceania,"Pacific high seas, near several Pacific island countries' exclusive economic zones.",-14.473,178.018,International,Greenpeace activists from Fiji advocating for ocean conservation and the protection of tuna stocks.,The Taiwanese fishing vessel San Sheng Shiang No 868 engaged in tuna fishing in the Pacific high seas.,0,1,0,0,1,0,0,,1,0,0,0,0,0,0,1,"The scenario describes a peaceful protest rather than any physical confrontation, justifying a low-level violence score.","Fijian activists from Greenpeace protested against a Taiwanese long-liner fishing vessel, calling for conservation measures to protect tuna stocks in the Pacific. This event highlights the contestation over fishing rights and conservation efforts in oceanic regions crucial for tuna sustainability.","Fijian activists from Greenpeace protested against a Taiwanese long-liner fishing vessel, calling for conservation measures to protect tuna stocks in the Pacific.",0,0,10/1/2011,178.018,-14,178,28.260934829711914,2,52.630968307819415,10,27.538280487060547,0.7226543426513672,0.8
Oceania_No_AUS_NZL_Final,24329614965,3/8/2011,2011,Marshall Islands,Oceania,Marshall Islands and the broader Pacific Ocean region.,7.113,171.252,Country,"The government of the Marshall Islands, specifically represented by the Marshall Islands Marine Resources Authority director, Glen Joseph.",Illegal fishers and exporters involved in the unregulated shark fin trade.,0,1,0,0,0,1,0,,0,1,0,0,0,0,0,1,"The dispute described is administrative in nature, involving the imposition of a trade ban, and does not mention any physical violence or direct conflict.","The article discusses a moratorium imposed by the Marshall Islands on the trade and export of shark fins due to a booming illegal export market and the unregulated fishing of sharks, which are primarily sought after for their fins. This ban aligns with a wider effort among Pacific Islands to protect shark populations, reflecting growing environmental concerns over the unsustainable killing of sharks.",The article discusses a moratorium imposed by the Marshall Islands on the trade and export of shark fins due to a booming illegal export market and the unregulated fishing of sharks.,0,0,3/1/2011,171.252,8,172,28.351871490478516,2,128.55334202246155,3,27.78954506,0.5623264312744141,2.5
Oceania_No_AUS_NZL_Final,24330282961,3/29/2011,2011,Palau,Oceania,Palau's Exclusive Economic Zone (EEZ) in the Pacific Ocean.,7.627,134.413,Country,"U.S. Coast Guard, specifically the crew of the Cutter Sequoia, collaborating with Palau's authorities.",Philippine flagged fishing vessels engaged in illegal fishing within Palau's waters.,0,0,0,1,1,1,0,,0,0,0,0,0,0,0,2,"The event involved boarding and seizure of vessels, but no physical harm or aggression was reported.","The article describes a fisheries dispute event involving the U.S. Coast Guard and illegal fishing activities by vessels within Palau's Exclusive Economic Zone (EEZ). The Coast Guard, in collaboration with the Palau Maritime Police, boarded and seized two Philippine-flagged vessels that were caught fishing without permits, thus addressing the unauthorized extraction of marine resources in the region.","The U.S. Coast Guard, in collaboration with the Palau Maritime Police, boarded and seized two Philippine-flagged vessels that were caught fishing without permits.",0,0,3/1/2011,134.413,8,134,28.886354446411133,2,61.56473411899742,3,28.01794434,0.8684101104736328,2.5
Oceania_No_AUS_NZL_Final,24352047096,12/8/2011,2011,Palau,Oceania,"Palaun waters, specifically within the exclusive economic zone of Palau, which has been designated as a shark sanctuary.",7.166,133.776,Country,"Palauan fisheries officials, supported by Greenpeace, are actively enforcing fishing regulations to prevent illegal fishing activities in their exclusive economic zone.","The Taiwanese fishing vessel, Sheng Chi Hui, suspected of illegal fishing, which poses a threat to the Palauan fishing industry and ecological balance.",1,1,0,1,1,1,0,,0,1,1,1,0,0,0,2,Vessel detained,"A Taiwanese fishing vessel, Sheng Chi Hui, was detained by Palauan fisheries officials during a joint patrol with Greenpeace for suspected illegal fishing in a designated shark sanctuary. This action highlights ongoing issues of illegal fishing in the Pacific, which threatens local economies and food security. Palauan President Johnson Toribiong emphasized the necessity of enforcing fisheries regulations to protect sustainable fishing practices and livelihoods.","A Taiwanese fishing vessel, Sheng Chi Hui, was detained by Palauan fisheries officials for suspected illegal fishing in a designated shark sanctuary.",0,0,12/1/2011,133.776,8,134,29.602087020874023,2,95.96691108582962,12,28.77217674255371,0.8299102783203125,2.5
Oceania_No_AUS_NZL_Final,24349216324,3/3/2011,2011,Papua New Guinea,Oceania,"Off the coast of Buka, Papua New Guinea.",-5.356,154.751,Region,"Local fishermen from the Hagogohe and Haku constituency, Carterets, and Fead islands.",Papua New Guinea National Parliament,1,1,0,1,1,1,1,,1,0,0,0,0,0,0,1,"The described actions involve local fishermen signaling to the foreign vessels to leave, which does not escalate to physical confrontation, indicating a low-level conflict.","The article describes a fisheries dispute off the coast of Buka, where local fishermen are raising concerns about foreign vessels operating in their waters without proper licenses. The local community, particularly from the Hagogohe and Haku constituency, is demanding government intervention to protect their fishing grounds from these potentially illegal activities.","Local fishermen are raising concerns about foreign vessels operating in their waters without proper licenses, demanding government intervention.",0,0,3/1/2011,154.751,-6,154,30.292016983032227,2,109.69536201738661,3,29.28646469116211,1.0055522918701172,2.5
Oceania_No_AUS_NZL_Final,24357197880,3/18/2011,2011,Papua New Guinea,Oceania,Exclusion zone of Papua New Guinea.,-10.518,147.461,Country,"Vynban Pty Ltd, an Australian fishing company operating a trawler.","The government of Papua New Guinea, whose exclusion zone was violated by the fishing activities.",0,0,0,1,1,1,0,,0,0,0,0,0,0,0,2,Fines,"A Mooloolaba trawler, operated by Vynban Pty Ltd, was caught illegally fishing in the exclusion zone of Papua New Guinea, risking Australia's international reputation for fishing conservation. The company pleaded guilty to the offense, leading to fines for both the skipper and the company. This incident highlights issues of illegal fishing and governance within the fisheries sector.","A Mooloolaba trawler, operated by Vynban Pty Ltd, was caught illegally fishing in the exclusion zone of Papua New Guinea.",0,0,3/1/2011,147.461,-10,148,29.481828689575195,2,82.43645790760236,3,28.640663146972656,0.8411655426025391,2.5
