event_id,date,year,country,region,latitude,longitude,violence_score
24328612817,12/1/2011,2011,American Samoa,Oceania,-14.27806,-170.7025,2
24359251958,10/12/2011,2011,French Polynesia,Oceania,-17.536,-149.582,1
24349703891,8/1/2011,2011,Guam,Oceania,13.46,144.665,1
24327648295,11/10/2011,2011,Guam,Oceania,13.47567,144.74886,1
24359264846,10/13/2011,2011,High Seas,Oceania,-14.473,178.018,1
24329614965,3/8/2011,2011,Marshall Islands,Oceania,7.113,171.252,1
24330282961,3/29/2011,2011,Palau,Oceania,7.627,134.413,2
24352047096,12/8/2011,2011,Palau,Oceania,7.166,133.776,2
24349216324,3/3/2011,2011,Papua New Guinea,Oceania,-5.356,154.751,1
24357197880,3/18/2011,2011,Papua New Guinea,Oceania,-10.518,147.461,2
24349221928,7/29/2011,2011,Papua New Guinea,Oceania,-9.423,141.567,2
24349224106,10/14/2011,2011,Papua New Guinea,Oceania,-9.535,147.265,2
24337752663,9/15/2011,2011,Solomon Islands,Oceania,-8.916,159.641,1
24325376715,5/16/2011,2011,Tonga,Oceania,-20.874,-175.018,1
24415882772,7/2/2012,2012,Christmas Island,South Asia,-10.416,105.655,2
24407877752,3/6/2012,2012,Guam,Oceania,13.48,144.749,2
24407880198,4/1/2012,2012,Palau,Oceania,7.032,134.211,3
24406699133,5/8/2012,2012,Papua New Guinea,Oceania,-10.133,148.418,2
24406703576,6/26/2012,2012,Papua New Guinea,Oceania,-9.479,147.146,2
24406690044,11/20/2012,2012,Fiji,Oceania,-17.172,178.613,1
24379537054,2/24/2012,2012,Marshall Islands,Oceania,7.107,169.699,2
24494273394,11/20/2012,2012,Vanuatu,Oceania,-15.729,167.642,1
24494195950,6/11/2013,2013,American Samoa,Oceania,-14.549,-168.155,1
24494203056,6/26/2013,2013,Fiji,Oceania,-18.047,178.56,1
24494241420,3/8/2013,2013,Kiribati,Oceania,2.157,-157.916,1
24443046689,2/5/2013,2013,Marshall Islands,Oceania,7.11,171.284,2
24494175942,5/7/2013,2013,Micronesia,Oceania,8.057,137.062,2
24494258479,2/18/2013,2013,Marshall Islands,Oceania,7.107,169.699,2
24494100151,11/7/2013,2013,New Caledonia,Oceania,-20.595,165.856,2
24494230254,2/21/2013,2013,Papua New Guinea,Oceania,-10.343,151.094,1
24494241400,3/8/2013,2013,Papua New Guinea,Oceania,-6.895,156.03,1
24456267752,3/26/2013,2013,Papua New Guinea,Oceania,-10.352,150.608,1
24494153353,8/29/2013,2013,Papua New Guinea,Oceania,-3.433,151.934,1
24456304029,11/13/2013,2013,Papua New Guinea,Oceania,-8.567,150.694,2
24494244508,3/15/2013,2013,Marshall Islands,Oceania,7.107,169.699,2
24494106511,11/15/2013,2013,Nauru,Oceania,-0.648,166.974,2
23579158719,6/15/2015,2013,Papua New Guinea,Oceania,-7.988,153.192,2
24456266424,4/3/2013,2013,Solomon Islands,Oceania,-8.604,159.198,1
24494203209,6/17/2013,2013,Vanuatu,Oceania,-15.729,167.642,1
24562613108,2/6/2014,2014,Papua New Guinea,Oceania,-9.341,141.104,3
24512346679,5/2/2014,2014,Fiji,Oceania,-16.824,179.277,1
24528394742,8/5/2014,2014,Guam,Oceania,13.799,145,2
24505229678,5/9/2014,2014,Kiribati,Oceania,-3.847,-171.23,1
24559761523,3/18/2014,2014,Micronesia,Oceania,6.45,158.063,2
24509399369,12/18/2014,2014,Northern Mariana Islands,Oceania,15.162,145.756,2
24502608458,8/17/2014,2014,Papua New Guinea,Oceania,-10.785,151.804,2
24546679484,10/28/2014,2014,Papua New Guinea,Oceania,-9.087,143.175,2
24516967521,11/28/2014,2014,Papua New Guinea,Oceania,-9.455,147.044,1
24505231409,10/14/2014,2014,Vanuatu,Oceania,-17.635,168.203,1
24531275554,2/20/2014,2014,Palau,Oceania,7.338,134.272,1
24609256889,6/16/2014,2014,Papua New Guinea,Oceania,-7.988,153.192,1
24609262920,2/16/2015,2015,Marshall Islands,Oceania,7.107,169.699,2
23568320062,11/29/2015,2015,Micronesia,Oceania,6.45,158.063,2
24609255258,7/10/2015,2015,Papua New Guinea,Oceania,-2.191,145.136,2
24609216211,7/30/2015,2015,American Samoa,Oceania,-14.228,-170.474,1
24609227323,9/1/2015,2015,American Samoa,Oceania,-14.301,-170.667,2
24609227323,9/1/2015,2015,American Samoa,Oceania,-14.301,-170.653,1
24609282964,1/14/2015,2015,Christmas Island,South Asia,-10.483,105.663,2
24609276439,4/20/2015,2015,Cook Islands,Oceania,-21.205,-159.785,1
24626684069,11/23/2015,2015,Cook Islands,Oceania,-21.205,-159.785,1
24596918307,9/10/2015,2015,High Seas,Oceania,0.383,145.886,2
24608116716,7/14/2015,2015,Multiple,Oceania,-15.22,171.335,1
23908200979,12/28/2015,2015,Multiple,Oceania,2.48,153.465,1
24570510961,6/12/2015,2015,Palau,Oceania,8.068,134.704,2
24628296912,9/16/2015,2015,Nauru,Oceania,-0.648,166.974,1
24623214747,10/27/2015,2015,Palau,Oceania,7.338,134.272,1
24597051106,7/28/2015,2015,Papua New Guinea,Oceania,-7.988,153.192,3
24633040921,9/10/2015,2015,Papua New Guinea,Oceania,-7.988,153.192,2
23738191039,8/14/2015,2015,Papua New Guinea,Oceania,-7.988,153.192,2
24626709219,9/25/2015,2015,Papua New Guinea,Oceania,-7.988,153.192,1
24609256889,2/4/2015,2015,Solomon Islands,Oceania,-8.604,159.198,1
24609260060,2/10/2015,2015,Tuvalu,Oceania,-8.859,179.508,1
24609244089,6/12/2015,2015,Tuvalu,Oceania,-8.859,179.508,1
28769161608,11/29/2016,2016,Cook Islands,Oceania,-21.284,-159.781,1
28836996176,12/4/2016,2016,Cook Islands,Oceania,-21.284,-159.781,2
26597037939,5/20/2016,2016,Micronesia,Oceania,6.45,158.063,3
26168986687,4/12/2016,2016,Cook Islands,Oceania,-21.205,-159.785,1
26889054652,6/13/2016,2016,High Seas,Oceania,-3.285,169.465,1
28669337460,11/19/2016,2016,Kiribati,Oceania,2.515,-158.302,1
26850148559,6/9/2016,2016,Marshall Islands,Oceania,8.884,167.674,1
27217033396,7/11/2016,2016,Micronesia,Oceania,8.245,151.271,2
25354691434,2/3/2016,2016,Multiple,Oceania,-6.508,178.811,1
27413178357,7/27/2016,2016,Northern Mariana Islands,Oceania,18.147,145.657,1
25524934535,2/19/2016,2016,Palau,Oceania,2.001,131.405,2
26415933030,5/4/2016,2016,Palau,Oceania,2.867,131.808,2
28780893259,11/30/2016,2016,Palau,Oceania,3.546,131.627,2
25814485696,2/26/2016,2016,Papua New Guinea,Oceania,-9.519,147.061,1
26146715460,3/30/2016,2016,Papua New Guinea,Oceania,-7.511,152.122,1
27004674635,5/26/2016,2016,Papua New Guinea,Oceania,-7.703,144.291,2
28341529700,10/19/2016,2016,Papua New Guinea,Oceania,-10.616,151.247,2
30686385889,12/22/2016,2016,Papua New Guinea,Oceania,-9.285,153.662,2
27079821133,4/1/2016,2016,Solomon Islands,Oceania,-8.236,157.197,2
28464799114,10/31/2016,2016,Solomon Islands,Oceania,-9.182,160.205,1
32019668569,9/30/2017,2017,Kiribati,Oceania,1.739,-157.363,1
31890988966,8/30/2017,2017,American Samoa,Oceania,-14.367,-169.936,2
40302819174,6/15/2017,2017,Cook Islands,Oceania,-21.254,-159.779,1
31559879174,8/18/2017,2017,Guam,Oceania,13.473,144.697,2
31750260913,9/6/2017,2017,Guam,Oceania,13.48,144.746,1
30981286666,6/22/2017,2017,High Seas,Oceania,-28.525,177.122,2
29482120115,2/5/2017,2017,Marshall Islands,Oceania,7.089,171.362,2
32654070484,11/30/2017,2017,Niue,Oceania,11.551,162.348,1
30500946638,5/8/2017,2017,Palau,Oceania,6.175,133.24,1
30040919511,3/27/2017,2017,Solomon Islands,Oceania,-12.663,160.371,2
34536045000,7/13/2018,2018,Guam,Oceania,13.48,144.75,2
34565581399,7/17/2018,2018,Guam,Oceania,13.48,144.75,1
34632174990,7/25/2018,2018,Guam,Oceania,13.473,144.697,2
34813449480,8/14/2018,2018,New Caledonia,Oceania,-23.359,164.236,1
39297429986,5/23/2019,2019,Northern Mariana Islands,Oceania,15.838,145.841,2
38764819746,3/14/2019,2019,American Samoa,Oceania,-14.516,-168.21,1
39012298686,4/15/2019,2019,American Samoa,Oceania,-14.271,-170.687,2
40440216942,10/16/2019,2019,Cook Islands,Oceania,-20.601,-158.253,2
39244161806,5/17/2019,2019,Fiji,Oceania,-17.8,177.133,1
52504938904,2/9/2019,2019,Guam,Oceania,13.584,144.822,1
52505181105,2/26/2019,2019,Guam,Oceania,13.995,145.1,1
52505183664,4/19/2019,2019,Guam,Oceania,13.473,144.695,2
40762339910,11/24/2019,2019,Guam,Oceania,13.249,144.662,1
38144430577,1/2/2019,2019,Marshall Islands,Oceania,11.161,169.598,1
40328538526,10/2/2019,2019,Papua New Guinea,Oceania,-5.214,145.8,1
38699559964,3/6/2019,2019,Solomon Islands,Oceania,-11.684,160.273,1
53225464993,3/1/2024,2019,Papua New Guinea,Oceania,-3.792,152.622,1
42127408570,5/16/2020,2020,Nauru,Oceania,-0.648,166.974,3
42917585816,8/25/2020,2020,Papua New Guinea,Oceania,-2.585,150.789,3
43584851516,11/17/2020,2020,American Samoa,Oceania,-14.044,-170.298,1
42095222147,5/12/2020,2020,High Seas,Oceania,-12.425,-173.69,3
41562853708,3/7/2020,2020,Multiple,Oceania,-11.275,172.145,1
43793239656,12/15/2020,2020,Palau,Oceania,2.875,131.776,2
43770600625,12/10/2020,2020,Papua New Guinea,Oceania,-9.081,143.208,1
42887148389,8/21/2020,2020,Vanuatu,Oceania,-14.444,171.021,3
45244203573,6/25/2021,2021,Micronesia,Oceania,6.45,158.063,2
46365704567,11/18/2021,2021,American Samoa,Oceania,-14.844,-169.925,2
49307268926,8/4/2021,2021,Fiji,Oceania,-15.648,174.089,1
44091206857,1/25/2021,2021,Vanuatu,Oceania,-12.57,166.955,2
47881393326,6/1/2022,2022,Niue,Oceania,-19.069,-169.831,1
48573074450,8/25/2022,2022,Papua New Guinea,Oceania,-9.322,141.11,3
48617254405,8/29/2022,2022,Solomon Islands,Oceania,-8.604,159.198,1
49793438343,12/16/2022,2022,American Samoa,Oceania,-14.153,-170.668,1
47304546473,3/19/2022,2022,Guam,Oceania,13.784,144.91,2
49792916505,12/19/2022,2022,Guam,Oceania,13.473,144.697,2
48874657543,3/1/2022,2022,Multiple,Oceania,-9.32,-138.705,1
47327449690,3/22/2022,2022,Northern Mariana Islands,Oceania,15.058,145.707,1
47572267385,4/22/2022,2022,Palau,Oceania,4.509,133.977,1
48582003719,8/26/2022,2022,Solomon Islands,Oceania,-9.434,159.956,1
51742944165,9/7/2023,2023,Multiple,Oceania,-11.43,171.335,1
51601348845,8/21/2023,2023,Papua New Guinea,Oceania,-7.988,153.192,2
50878704363,5/24/2023,2023,American Samoa,Oceania,-14.276,-170.682,1
51138301717,6/23/2023,2023,American Samoa,Oceania,-14.268,-170.614,1
50172992492,3/6/2023,2023,Fiji,Oceania,-18.119,178.528,1
51894431050,9/25/2023,2023,Guam,Oceania,13.654,144.861,1
50085388486,2/23/2023,2023,Multiple,Oceania,-13.58,-168.036,1
51776631119,9/11/2023,2023,New Caledonia,Oceania,-22.531,166.49,2
51490023406,8/7/2023,2023,Palau,Oceania,6.904,134.129,1
51640191563,8/24/2023,2023,Samoa,Oceania,-13.828,-171.761,2
52223449994,10/31/2023,2023,Samoa,Oceania,-14.291,-170.678,2
54501479045,8/6/2024,2024,American Samoa,Oceania,-14.357,-170.738,1
54214315906,7/4/2024,2024,French Polynesia,Oceania,-17.795,-149.123,1
55022943292,10/11/2024,2024,Samoa,Oceania,-14.084,-172.243,1
"alaska1536, alaska1549",6/12/2000,2000,USA,Arctic,58.423992,-135.972736,1
"alaska9239, arctic15738, alaska12045",10/26/2000,2000,USA,Arctic,57.792554,-152.368966,2
arctic6289,9/5/2000,2000,USA,Arctic,61.657229,-177.157513,2
arctic6385,10/12/2000,2000,USA,Arctic,63.127598,-173.711853,2
"alaska1535, alaska9188",8/1/2000,2000,USA,Arctic,62.338357,-175.525358,2
arctic6289,9/13/2000,2000,USA,Arctic,62.278844,-176.041503,2
"arctic13470, arctic13479, arctic6289, arctic29524",9/23/2000,2000,USA,Arctic,62.05679,-176.447576,2
"alaska1535, alaska9189, arctic6334",5/15/2000,2000,USA,Arctic,49.379279,-174.971237,2
"alaska1528, alaska9175, arctic6342, arctic15738, alaska9239, alaska12045",7/15/2000,2000,USA,Arctic,60.517853,-145.880645,1
arctic13534,9/22/2000,2000,USA,Arctic,61.310923,-176.704137,2
arctic29594,8/26/2001,2001,Russia,Arctic,62.254047,-176.06941,2
arctic21796,4/24/2001,2001,Russia,Arctic,55.74001,37.6353,2
alaska3473,11/11/2001,2001,USA,Arctic,60.194276,-178.140363,2
arctic21425,7/25/2001,2001,USA,Arctic,62.868272,-174.952297,2
arctic21796,4/22/2001,2001,Norway,Arctic,78.293854,27.211685,2
arctic34243,6/15/2002,2002,Norway,Arctic,79.317472,8.876584,2
alaska3464,3/16/2002,2002,USA,Arctic,55.752547,-168.596589,1
alaska6711,6/15/2002,2002,USA,Arctic,53.567594,-179.232381,1
alaska6726,5/21/2002,2002,USA,Arctic,57.233498,-160.005,1
arctic32845,1/15/2002,2002,USA,Arctic,59.603487,-151.539121,2
arctic31078,12/15/2002,2002,Norway,Arctic,71.05306,20.101665,1
alaska6879,9/15/2002,2003,USA,Arctic,54.127138,-165.768382,1
arctic31078,3/10/2003,2003,Norway,Arctic,68.471786,13.807261,2
"arctic32034, arctic32010, arctic32058",1/22/2003,2003,Russia,Arctic,62.148046,-177.617794,2
"arctic32010, arctic32058",1/24/2003,2003,Russia,Arctic,63.1045,-175.927478,2
alaska2718,11/30/2004,2004,USA,Arctic,51.817879,-176.553082,1
alaska3350,2/15/2004,2004,USA,Arctic,54.79897,-163.337626,1
"arctic6809, arctic6861, arctic6865, arctic6879, arctic6844, alaska12316, alaska12364",12/27/2004,2004,USA,Arctic,53.624524,-167.157424,1
alaska2722,9/22/2004,2004,USA,Arctic,52.627279,176.578843,1
"arctic7215, arctic7256, arctic7188, arctic13400",9/28/2004,2004,Canada,Arctic,66.950538,-60.612283,1
"alaska2762, alaska6735",12/5/2004,2004,USA,Arctic,58.222895,-136.804579,1
arctic15648,8/13/2004,2004,Norway,Arctic,78.184226,28.589228,1
arctic5650,5/25/2004,2004,Greenland,Arctic,77.383198,-69.234841,1
alaska6812,2/10/2005,2005,USA,Arctic,52.064981,-175.482584,1
alaska3984,12/1/2005,2005,USA,Arctic,61.173507,-149.911229,1
alaska6823,1/22/2005,2005,USA,Arctic,56.719222,-172.771865,2
arctic24176,11/15/2005,2005,Norway,Arctic,80.726171,25.575737,2
arctic24176,11/25/2005,2005,Norway,Arctic,78.276815,25.678818,1
"arctic19854, arctic19847, alaska6783, alaska6770, alaska6780",1/13/2005,2005,USA,Arctic,52.904939,-178.767346,1
alaska6804,3/14/2005,2005,USA,Arctic,56.588207,-163.551033,1
"arctic21344, arctic21332, arctic21404, arctic21358, arctic21401",10/25/2005,2005,Norway,Arctic,79.514453,30.896917,2
arctic29167,12/5/2005,2005,Russia,Arctic,71.844754,26.493361,1
"arctic21344, arctic21332, arctic21402, arctic21387, arctic21404, arctic21358, arctic21401, arctic21414, arctic21419",10/15/2005,2005,Norway,Arctic,76.811075,18.772379,2
"arctic23431, arctic23404, arctic23375",11/1/2006,2006,Greenland,Arctic,72.748729,-20.234283,1
"alaska5657, alaska5668",6/28/2006,2006,USA,Arctic,52.871724,178.794645,1
arctic7923,11/27/2007,2007,Russia,Arctic,66.466913,43.787189,1
alaska4402,8/15/2008,2008,USA,Arctic,53.447819,-170.297037,1
arctic3227,3/28/2008,2008,Norway,Arctic,79.700772,30.989534,2
alaska9268,10/3/2008,2008,USA,Arctic,52.466331,179.914209,1
alaska8291,1/18/2008,2008,USA,Arctic,54.392248,-174.419802,1
alaska4382,9/1/2008,2008,USA,Arctic,52.680516,-173.44779,1
alaska8249,2/4/2008,2008,USA,Arctic,53.381954,-176.646593,1
arctic388,6/16/2008,2008,USA,Arctic,58.288261,-135.781859,1
alaska500009,5/21/2008,2008,USA,Arctic,57.741736,-161.108211,1
alaska9259,10/20/2008,2008,USA,Arctic,53.430065,173.908062,1
arctic341,7/21/2007,2008,USA,Arctic,55.413484,-131.903469,1
arctic8014,4/10/2008,2008,Norway,Arctic,75.488637,21.19655,1
"alaska500004, arctic18417",7/1/2009,2009,USA,Arctic,56.812,-163.265788,1
alaska500007,5/28/2009,2009,USA,Arctic,52.761888,-179.877115,1
"arctic24336, arctic24283, arctic24379, arctic15515",2/6/2009,2009,USA,Arctic,66.312307,-168.000112,1
"alaska3198, alaska3173, alaska3224, arctic38944, arctic38974, arctic30310",9/3/2009,2009,Canada,Arctic,69.729143,-140.997679,1
arctic26475,6/10/2009,2009,USA,Arctic,58.900335,-164.654244,1
arctic18411,6/26/2009,2009,USA,Arctic,61.8818,-162.092227,2
arctic29247,2/16/2009,2009,Russia,Arctic,54.772019,174.682211,2
"alaska7816, arctic27507",4/7/2009,2009,USA,Arctic,56.239475,-161.187011,1
alaska500008,8/27/2009,2009,USA,Arctic,54.968707,176.970659,1
arctic37660,11/10/2009,2009,USA,Arctic,52.69866,174.300703,1
arctic30567,1/17/2009,2009,Norway,Arctic,67.884925,12.442287,1
arctic30310,12/15/2009,2009,USA,Arctic,71.725294,-145.85062,1
"arctic17438, arctic17453, arctic17496, arctic17522, arctic25237, arctic25227, arctic25223, arctic25203, arctic17363, arctic4446, arctic4409",5/5/2009,2009,Canada,Arctic,65.457645,-61.359278,1
alaska9136,6/28/2010,2010,USA,Arctic,54.174326,-163.793131,1
alaska6151,3/23/2010,2010,USA,Arctic,52.949867,178.825908,1
"alaska1123, alaska1152, alaska1177, alaska1112, alaska7610, alaska9644, alaska7631, alaska7626",12/14/2010,2010,USA,Arctic,53.254786,175.053133,1
"alaska1171, alaska7610, alaska9644, alaska7631, alaska7626",1/1/2011,2010,USA,Arctic,52.677522,174.114465,1
arctic34044,12/15/2010,2010,USA,Arctic,58.357046,-149.915055,1
"arctic39560, arctic39522, arctic34891, arctic34968, arctic34946, arctic34952, arctic34889, ",2/15/2010,2010,Canada,Arctic,62.170674,-64.993305,1
"alaska1101, alaska1106, alaska1114, alaska1157, alaska1160, alaska1178",11/10/2020,2010,USA,Arctic,53.610233,-174.604277,1
"arctic27042, arctic27008, arctic37937",5/28/2011,2011,Greenland,Arctic,60.797569,-55.459915,2
"arctic27042, arctic27008, arctic37937",6/4/2011,2011,Greenland,Arctic,60.988346,-55.887757,2
